objectid,status,zsid,zsname,nkoord,ekoord,adresse,suchen,name,poi_id,kategorie,label,geometry
1,aktiv,Z001,Seestrasse (Strandbad Wollishofen),2683012.9105,1243935.4615,,MIV Zählstelle Messstelle ZS,Z001,svzZ001,Zählstellen MIV,1,POINT (2683013 1243935.5)
2,aktiv,Z002,Albisstrasse (Widmerstrasse),2682483.7215,1243168.6565,,MIV Zählstelle Messstelle ZS,Z002,svzZ002,Zählstellen MIV,2,POINT (2682483.8 1243168.6)
3,aktiv,Z003,Sood-/Leimbachstrasse,2681590.3135,1242989.5405,,MIV Zählstelle Messstelle ZS,Z003,svzZ003,Zählstellen MIV,3,POINT (2681590.2 1242989.5)
4,aktiv,Z004,Birmensdorferstrasse (Triemli),2679760.5343,1246846.2143,,MIV Zählstelle Messstelle ZS,Z004,svzZ004,Zählstellen MIV,4,POINT (2679760.5 1246846.2)
5,aktiv,Z005,Albisriederstrasse (Lyrenweg),2678858.3355,1247581.5720,,MIV Zählstelle Messstelle ZS,Z005,svzZ005,Zählstellen MIV,5,POINT (2678858.2 1247581.6)
7,aktiv,Z007,Bernerstrasse (Hermetschloobrücke),2678113.3440,1250232.1593,,MIV Zählstelle Messstelle ZS,Z007,svzZ007,Zählstellen MIV,7,POINT (2678113.2 1250232.1)
8,aktiv,Z008,Limmattalstrasse (Frankentalerstrasse),2678621.1780,1251004.8265,,MIV Zählstelle Messstelle ZS,Z008,svzZ008,Zählstellen MIV,8,POINT (2678621.2 1251004.9)
9,aktiv,Z009,Regensdorferstrasse (Frankentalerstrasse),2678846.3925,1252107.7535,,MIV Zählstelle Messstelle ZS,Z009,svzZ009,Zählstellen MIV,9,POINT (2678846.5 1252107.8)
10,aktiv,Z010,Wehntalerstrasse (Zehntenhausplatz),2680443.2177,1252650.7160,,MIV Zählstelle Messstelle ZS,Z010,svzZ010,Zählstellen MIV,10,POINT (2680443.2 1252650.8)
11,aktiv,Z011,Glattalstrasse (Kolbenackerstrasse),2683633.0435,1253425.9900,,MIV Zählstelle Messstelle ZS,Z011,svzZ011,Zählstellen MIV,11,POINT (2683633 1253426)
12,aktiv,Z012,Schaffhauserstrasse (Glatttalstrasse),2683926.9667,1253017.2577,,MIV Zählstelle Messstelle ZS,Z012,svzZ012,Zählstellen MIV,12,POINT (2683927 1253017.2)
13,aktiv,Z013,Thurgauerstrasse (Schärenmoosstrasse),2684310.1763,1252709.2045,,MIV Zählstelle Messstelle ZS,Z013,svzZ013,Zählstellen MIV,13,POINT (2684310.2 1252709.2)
14,aktiv,Z014,Weststrasse (Ueberlandstrasse),2686137.3820,1251553.4017,,MIV Zählstelle Messstelle ZS,Z014,svzZ014,Zählstellen MIV,14,POINT (2686137.5 1251553.4)
15,aktiv,Z015,Neue Winterthurerstrasse (Ueberlandstrasse),2687010.7048,1251255.3760,,MIV Zählstelle Messstelle ZS,Z015,svzZ015,Zählstellen MIV,15,POINT (2687010.8 1251255.4)
16,aktiv,Z016,Ueberlandstrasse (Neue Winterthurerstrasse),2687011.8817,1251179.1038,,MIV Zählstelle Messstelle ZS,Z016,svzZ016,Zählstellen MIV,16,POINT (2687012 1251179.1)
17,aktiv,Z017,Dübendorfstrasse (Altwiesenstrasse),2687076.8965,1250344.7870,,MIV Zählstelle Messstelle ZS,Z017,svzZ017,Zählstellen MIV,17,POINT (2687077 1250344.8)
18,aktiv,Z018,Tobelhof-/Dreiwiesenstrasse,2685831.3863,1248146.7033,,MIV Zählstelle Messstelle ZS,Z018,svzZ018,Zählstellen MIV,18,POINT (2685831.5 1248146.8)
19,aktiv,Z019,Witikonerstrasse (Katzenschwanzstrasse),2687631.6965,1246203.9765,,MIV Zählstelle Messstelle ZS,Z019,svzZ019,Zählstellen MIV,19,POINT (2687631.8 1246204)
20,aktiv,Z020,Forchstrasse (Witellikerstrasse),2685939.0897,1245371.8727,,MIV Zählstelle Messstelle ZS,Z020,svzZ020,Zählstellen MIV,20,POINT (2685939 1245371.9)
21,aktiv,Z021,Bellerivestrasse (Bahnhof Tiefenbrunnen),2684884.0970,1244829.8728,,MIV Zählstelle Messstelle ZS,Z021,svzZ021,Zählstellen MIV,21,POINT (2684884 1244829.9)
