"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2025-01-01T00:00+0100","Zch_Heubeeribüel","Hr","h1","%Hr",99.99,"bereinigt"
"2025-01-01T00:00+0100","Zch_Heubeeribüel","T","h1","°C",-1.99,"bereinigt"
"2025-01-01T00:00+0100","Zch_Heubeeribüel","p","h1","hPa",957.2,"bereinigt"
"2025-01-01T00:00+0100","Zch_Rosengartenstrasse","Hr","h1","%Hr",96.49,"bereinigt"
"2025-01-01T00:00+0100","Zch_Rosengartenstrasse","RainDur","h1","min",0.0,"bereinigt"
"2025-01-01T00:00+0100","Zch_Rosengartenstrasse","T","h1","°C",-1.26,"bereinigt"
"2025-01-01T00:00+0100","Zch_Rosengartenstrasse","WD","h1","°",217.75,"bereinigt"
"2025-01-01T00:00+0100","Zch_Rosengartenstrasse","WVs","h1","m/s",0.68,"bereinigt"
"2025-01-01T00:00+0100","Zch_Rosengartenstrasse","WVv","h1","m/s",0.57,"bereinigt"
"2025-01-01T00:00+0100","Zch_Rosengartenstrasse","p","h1","hPa",978.41,"bereinigt"
"2025-01-01T00:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",99.98,"bereinigt"
"2025-01-01T00:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0.0,"bereinigt"
"2025-01-01T00:00+0100","Zch_Schimmelstrasse","T","h1","°C",-0.52,"bereinigt"
"2025-01-01T00:00+0100","Zch_Schimmelstrasse","WD","h1","°",306.4,"bereinigt"
"2025-01-01T00:00+0100","Zch_Schimmelstrasse","WVs","h1","m/s",0.61,"bereinigt"
"2025-01-01T00:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.39,"bereinigt"
"2025-01-01T00:00+0100","Zch_Schimmelstrasse","p","h1","hPa",981.09,"bereinigt"
"2025-01-01T00:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",99.54,"bereinigt"
"2025-01-01T00:00+0100","Zch_Stampfenbachstrasse","RainDur","h1","min",0.0,"bereinigt"
"2025-01-01T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","h1","W/m2",0.02,"bereinigt"
"2025-01-01T00:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",-1.08,"bereinigt"
"2025-01-01T00:00+0100","Zch_Stampfenbachstrasse","WD","h1","°",250.81,"bereinigt"
"2025-01-01T00:00+0100","Zch_Stampfenbachstrasse","WVs","h1","m/s",0.99,"bereinigt"
"2025-01-01T00:00+0100","Zch_Stampfenbachstrasse","WVv","h1","m/s",0.84,"bereinigt"
"2025-01-01T00:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",978.23,"bereinigt"
"2025-01-01T01:00+0100","Zch_Heubeeribüel","Hr","h1","%Hr",99.99,"bereinigt"
"2025-01-01T01:00+0100","Zch_Heubeeribüel","T","h1","°C",-0.9,"bereinigt"
"2025-01-01T01:00+0100","Zch_Heubeeribüel","p","h1","hPa",956.9,"bereinigt"
"2025-01-01T01:00+0100","Zch_Rosengartenstrasse","Hr","h1","%Hr",94.39,"bereinigt"
"2025-01-01T01:00+0100","Zch_Rosengartenstrasse","RainDur","h1","min",0.0,"bereinigt"
"2025-01-01T01:00+0100","Zch_Rosengartenstrasse","T","h1","°C",-1.36,"bereinigt"
"2025-01-01T01:00+0100","Zch_Rosengartenstrasse","WD","h1","°",209.89,"bereinigt"
"2025-01-01T01:00+0100","Zch_Rosengartenstrasse","WVs","h1","m/s",0.56,"bereinigt"
"2025-01-01T01:00+0100","Zch_Rosengartenstrasse","WVv","h1","m/s",0.33,"bereinigt"
"2025-01-01T01:00+0100","Zch_Rosengartenstrasse","p","h1","hPa",978.12,"bereinigt"
"2025-01-01T01:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",99.98,"bereinigt"
"2025-01-01T01:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0.0,"bereinigt"
"2025-01-01T01:00+0100","Zch_Schimmelstrasse","T","h1","°C",-0.55,"bereinigt"
"2025-01-01T01:00+0100","Zch_Schimmelstrasse","WD","h1","°",324.53,"bereinigt"
"2025-01-01T01:00+0100","Zch_Schimmelstrasse","WVs","h1","m/s",0.7,"bereinigt"
"2025-01-01T01:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.48,"bereinigt"
"2025-01-01T01:00+0100","Zch_Schimmelstrasse","p","h1","hPa",980.77,"bereinigt"
"2025-01-01T01:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",96.68,"bereinigt"
"2025-01-01T01:00+0100","Zch_Stampfenbachstrasse","RainDur","h1","min",0.0,"bereinigt"
"2025-01-01T01:00+0100","Zch_Stampfenbachstrasse","StrGlo","h1","W/m2",0.02,"bereinigt"
"2025-01-01T01:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",-0.95,"bereinigt"
"2025-01-01T01:00+0100","Zch_Stampfenbachstrasse","WD","h1","°",299.96,"bereinigt"
"2025-01-01T01:00+0100","Zch_Stampfenbachstrasse","WVs","h1","m/s",1.01,"bereinigt"
"2025-01-01T01:00+0100","Zch_Stampfenbachstrasse","WVv","h1","m/s",0.78,"bereinigt"
"2025-01-01T01:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",977.88,"bereinigt"
"2025-01-01T02:00+0100","Zch_Heubeeribüel","Hr","h1","%Hr",99.99,"bereinigt"
"2025-01-01T02:00+0100","Zch_Heubeeribüel","T","h1","°C",-2.38,"bereinigt"
"2025-01-01T02:00+0100","Zch_Heubeeribüel","p","h1","hPa",956.95,"bereinigt"
"2025-01-01T02:00+0100","Zch_Rosengartenstrasse","Hr","h1","%Hr",94.89,"bereinigt"
"2025-01-01T02:00+0100","Zch_Rosengartenstrasse","RainDur","h1","min",0.0,"bereinigt"
"2025-01-01T02:00+0100","Zch_Rosengartenstrasse","T","h1","°C",-1.74,"bereinigt"
"2025-01-01T02:00+0100","Zch_Rosengartenstrasse","WD","h1","°",58.75,"bereinigt"
"2025-01-01T02:00+0100","Zch_Rosengartenstrasse","WVs","h1","m/s",0.32,"bereinigt"
"2025-01-01T02:00+0100","Zch_Rosengartenstrasse","WVv","h1","m/s",0.15,"bereinigt"
"2025-01-01T02:00+0100","Zch_Rosengartenstrasse","p","h1","hPa",978.24,"bereinigt"
"2025-01-01T02:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",99.99,"bereinigt"
"2025-01-01T02:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0.0,"bereinigt"
"2025-01-01T02:00+0100","Zch_Schimmelstrasse","T","h1","°C",-0.8,"bereinigt"
"2025-01-01T02:00+0100","Zch_Schimmelstrasse","WD","h1","°",319.66,"bereinigt"
"2025-01-01T02:00+0100","Zch_Schimmelstrasse","WVs","h1","m/s",0.83,"bereinigt"
"2025-01-01T02:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.65,"bereinigt"
"2025-01-01T02:00+0100","Zch_Schimmelstrasse","p","h1","hPa",980.89,"bereinigt"
"2025-01-01T02:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",96.25,"bereinigt"
"2025-01-01T02:00+0100","Zch_Stampfenbachstrasse","RainDur","h1","min",0.0,"bereinigt"
"2025-01-01T02:00+0100","Zch_Stampfenbachstrasse","StrGlo","h1","W/m2",0.03,"bereinigt"
"2025-01-01T02:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",-1.05,"bereinigt"
"2025-01-01T02:00+0100","Zch_Stampfenbachstrasse","WD","h1","°",341.91,"bereinigt"
"2025-01-01T02:00+0100","Zch_Stampfenbachstrasse","WVs","h1","m/s",0.75,"bereinigt"
"2025-01-01T02:00+0100","Zch_Stampfenbachstrasse","WVv","h1","m/s",0.49,"bereinigt"
"2025-01-01T02:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",977.99,"bereinigt"
"2025-01-01T03:00+0100","Zch_Heubeeribüel","Hr","h1","%Hr",99.99,"bereinigt"
"2025-01-01T03:00+0100","Zch_Heubeeribüel","T","h1","°C",-2.85,"bereinigt"
"2025-01-01T03:00+0100","Zch_Heubeeribüel","p","h1","hPa",956.86,"bereinigt"
"2025-01-01T03:00+0100","Zch_Rosengartenstrasse","Hr","h1","%Hr",93.29,"bereinigt"
"2025-01-01T03:00+0100","Zch_Rosengartenstrasse","RainDur","h1","min",0.0,"bereinigt"
"2025-01-01T03:00+0100","Zch_Rosengartenstrasse","T","h1","°C",-1.7,"bereinigt"
"2025-01-01T03:00+0100","Zch_Rosengartenstrasse","WD","h1","°",218.64,"bereinigt"
"2025-01-01T03:00+0100","Zch_Rosengartenstrasse","WVs","h1","m/s",0.43,"bereinigt"
"2025-01-01T03:00+0100","Zch_Rosengartenstrasse","WVv","h1","m/s",0.34,"bereinigt"
"2025-01-01T03:00+0100","Zch_Rosengartenstrasse","p","h1","hPa",978.12,"bereinigt"
"2025-01-01T03:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",99.68,"bereinigt"
"2025-01-01T03:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0.0,"bereinigt"
"2025-01-01T03:00+0100","Zch_Schimmelstrasse","T","h1","°C",-0.7,"bereinigt"
"2025-01-01T03:00+0100","Zch_Schimmelstrasse","WD","h1","°",237.3,"bereinigt"
"2025-01-01T03:00+0100","Zch_Schimmelstrasse","WVs","h1","m/s",0.51,"bereinigt"
"2025-01-01T03:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.04,"bereinigt"
"2025-01-01T03:00+0100","Zch_Schimmelstrasse","p","h1","hPa",980.76,"bereinigt"
"2025-01-01T03:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",96.61,"bereinigt"
"2025-01-01T03:00+0100","Zch_Stampfenbachstrasse","RainDur","h1","min",0.0,"bereinigt"
"2025-01-01T03:00+0100","Zch_Stampfenbachstrasse","StrGlo","h1","W/m2",0.02,"bereinigt"
"2025-01-01T03:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",-1.26,"bereinigt"
"2025-01-01T03:00+0100","Zch_Stampfenbachstrasse","WD","h1","°",181.85,"bereinigt"
"2025-01-01T03:00+0100","Zch_Stampfenbachstrasse","WVs","h1","m/s",1.07,"bereinigt"
"2025-01-01T03:00+0100","Zch_Stampfenbachstrasse","WVv","h1","m/s",0.54,"bereinigt"
"2025-01-01T03:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",977.86,"bereinigt"
"2025-01-01T04:00+0100","Zch_Heubeeribüel","Hr","h1","%Hr",99.99,"bereinigt"
"2025-01-01T04:00+0100","Zch_Heubeeribüel","T","h1","°C",-1.94,"bereinigt"
"2025-01-01T04:00+0100","Zch_Heubeeribüel","p","h1","hPa",956.72,"bereinigt"
"2025-01-01T04:00+0100","Zch_Rosengartenstrasse","Hr","h1","%Hr",93.02,"bereinigt"
"2025-01-01T04:00+0100","Zch_Rosengartenstrasse","RainDur","h1","min",0.0,"bereinigt"
"2025-01-01T04:00+0100","Zch_Rosengartenstrasse","T","h1","°C",-1.27,"bereinigt"
"2025-01-01T04:00+0100","Zch_Rosengartenstrasse","WD","h1","°",219.02,"bereinigt"
"2025-01-01T04:00+0100","Zch_Rosengartenstrasse","WVs","h1","m/s",0.57,"bereinigt"
"2025-01-01T04:00+0100","Zch_Rosengartenstrasse","WVv","h1","m/s",0.49,"bereinigt"
"2025-01-01T04:00+0100","Zch_Rosengartenstrasse","p","h1","hPa",977.93,"bereinigt"
"2025-01-01T04:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",99.98,"bereinigt"
"2025-01-01T04:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0.03,"bereinigt"
"2025-01-01T04:00+0100","Zch_Schimmelstrasse","T","h1","°C",-0.67,"bereinigt"
"2025-01-01T04:00+0100","Zch_Schimmelstrasse","WD","h1","°",188.39,"bereinigt"
"2025-01-01T04:00+0100","Zch_Schimmelstrasse","WVs","h1","m/s",0.5,"bereinigt"
"2025-01-01T04:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.08,"bereinigt"
"2025-01-01T04:00+0100","Zch_Schimmelstrasse","p","h1","hPa",980.6,"bereinigt"
"2025-01-01T04:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",96.72,"bereinigt"
"2025-01-01T04:00+0100","Zch_Stampfenbachstrasse","RainDur","h1","min",0.0,"bereinigt"
"2025-01-01T04:00+0100","Zch_Stampfenbachstrasse","StrGlo","h1","W/m2",0.01,"bereinigt"
"2025-01-01T04:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",-1.05,"bereinigt"
"2025-01-01T04:00+0100","Zch_Stampfenbachstrasse","WD","h1","°",248.5,"bereinigt"
"2025-01-01T04:00+0100","Zch_Stampfenbachstrasse","WVs","h1","m/s",0.93,"bereinigt"
"2025-01-01T04:00+0100","Zch_Stampfenbachstrasse","WVv","h1","m/s",0.63,"bereinigt"
"2025-01-01T04:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",977.66,"bereinigt"
"2025-01-01T05:00+0100","Zch_Heubeeribüel","Hr","h1","%Hr",99.99,"bereinigt"
"2025-01-01T05:00+0100","Zch_Heubeeribüel","T","h1","°C",-1.87,"bereinigt"
"2025-01-01T05:00+0100","Zch_Heubeeribüel","p","h1","hPa",956.47,"bereinigt"
"2025-01-01T05:00+0100","Zch_Rosengartenstrasse","Hr","h1","%Hr",95.45,"bereinigt"
"2025-01-01T05:00+0100","Zch_Rosengartenstrasse","RainDur","h1","min",0.0,"bereinigt"
"2025-01-01T05:00+0100","Zch_Rosengartenstrasse","T","h1","°C",-1.44,"bereinigt"
"2025-01-01T05:00+0100","Zch_Rosengartenstrasse","WD","h1","°",217.33,"bereinigt"
"2025-01-01T05:00+0100","Zch_Rosengartenstrasse","WVs","h1","m/s",0.65,"bereinigt"
"2025-01-01T05:00+0100","Zch_Rosengartenstrasse","WVv","h1","m/s",0.61,"bereinigt"
"2025-01-01T05:00+0100","Zch_Rosengartenstrasse","p","h1","hPa",977.66,"bereinigt"
"2025-01-01T05:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",99.97,"bereinigt"
"2025-01-01T05:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0.0,"bereinigt"
"2025-01-01T05:00+0100","Zch_Schimmelstrasse","T","h1","°C",-0.78,"bereinigt"
"2025-01-01T05:00+0100","Zch_Schimmelstrasse","WD","h1","°",218.66,"bereinigt"
"2025-01-01T05:00+0100","Zch_Schimmelstrasse","WVs","h1","m/s",0.65,"bereinigt"
"2025-01-01T05:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.12,"bereinigt"
"2025-01-01T05:00+0100","Zch_Schimmelstrasse","p","h1","hPa",980.32,"bereinigt"
"2025-01-01T05:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",95.11,"bereinigt"
"2025-01-01T05:00+0100","Zch_Stampfenbachstrasse","RainDur","h1","min",0.0,"bereinigt"
"2025-01-01T05:00+0100","Zch_Stampfenbachstrasse","StrGlo","h1","W/m2",0.02,"bereinigt"
"2025-01-01T05:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",-1.17,"bereinigt"
"2025-01-01T05:00+0100","Zch_Stampfenbachstrasse","WD","h1","°",204.53,"bereinigt"
"2025-01-01T05:00+0100","Zch_Stampfenbachstrasse","WVs","h1","m/s",1.03,"bereinigt"
"2025-01-01T05:00+0100","Zch_Stampfenbachstrasse","WVv","h1","m/s",0.62,"bereinigt"
"2025-01-01T05:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",977.36,"bereinigt"
"2025-01-01T06:00+0100","Zch_Heubeeribüel","Hr","h1","%Hr",99.99,"bereinigt"
"2025-01-01T06:00+0100","Zch_Heubeeribüel","T","h1","°C",-1.85,"bereinigt"
"2025-01-01T06:00+0100","Zch_Heubeeribüel","p","h1","hPa",956.08,"bereinigt"
"2025-01-01T06:00+0100","Zch_Rosengartenstrasse","Hr","h1","%Hr",95.4,"bereinigt"
"2025-01-01T06:00+0100","Zch_Rosengartenstrasse","RainDur","h1","min",0.0,"bereinigt"
"2025-01-01T06:00+0100","Zch_Rosengartenstrasse","T","h1","°C",-1.21,"bereinigt"
"2025-01-01T06:00+0100","Zch_Rosengartenstrasse","WD","h1","°",211.13,"bereinigt"
"2025-01-01T06:00+0100","Zch_Rosengartenstrasse","WVs","h1","m/s",0.84,"bereinigt"
"2025-01-01T06:00+0100","Zch_Rosengartenstrasse","WVv","h1","m/s",0.74,"bereinigt"
"2025-01-01T06:00+0100","Zch_Rosengartenstrasse","p","h1","hPa",977.28,"bereinigt"
"2025-01-01T06:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",99.98,"bereinigt"
"2025-01-01T06:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0.0,"bereinigt"
"2025-01-01T06:00+0100","Zch_Schimmelstrasse","T","h1","°C",-0.88,"bereinigt"
"2025-01-01T06:00+0100","Zch_Schimmelstrasse","WD","h1","°",160.08,"bereinigt"
"2025-01-01T06:00+0100","Zch_Schimmelstrasse","WVs","h1","m/s",0.48,"bereinigt"
"2025-01-01T06:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.32,"bereinigt"
"2025-01-01T06:00+0100","Zch_Schimmelstrasse","p","h1","hPa",979.98,"bereinigt"
"2025-01-01T06:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",99.24,"bereinigt"
"2025-01-01T06:00+0100","Zch_Stampfenbachstrasse","RainDur","h1","min",0.0,"bereinigt"
"2025-01-01T06:00+0100","Zch_Stampfenbachstrasse","StrGlo","h1","W/m2",0.02,"bereinigt"
"2025-01-01T06:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",-1.23,"bereinigt"
"2025-01-01T06:00+0100","Zch_Stampfenbachstrasse","WD","h1","°",180.97,"bereinigt"
"2025-01-01T06:00+0100","Zch_Stampfenbachstrasse","WVs","h1","m/s",1.33,"bereinigt"
"2025-01-01T06:00+0100","Zch_Stampfenbachstrasse","WVv","h1","m/s",1.1,"bereinigt"
"2025-01-01T06:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",977.01,"bereinigt"
"2025-01-01T07:00+0100","Zch_Heubeeribüel","Hr","h1","%Hr",99.99,"bereinigt"
"2025-01-01T07:00+0100","Zch_Heubeeribüel","T","h1","°C",-2.5,"bereinigt"
"2025-01-01T07:00+0100","Zch_Heubeeribüel","p","h1","hPa",955.86,"bereinigt"
"2025-01-01T07:00+0100","Zch_Rosengartenstrasse","Hr","h1","%Hr",95.87,"bereinigt"
"2025-01-01T07:00+0100","Zch_Rosengartenstrasse","RainDur","h1","min",0.0,"bereinigt"
"2025-01-01T07:00+0100","Zch_Rosengartenstrasse","T","h1","°C",-1.43,"bereinigt"
"2025-01-01T07:00+0100","Zch_Rosengartenstrasse","WD","h1","°",216.34,"bereinigt"
